Weight(kg),CG(%MAC),Trim
80000,6,8.5
70000,6,8.5
60000,6,7.75
50000,6,7
45000,6,6.5
35000,6,6.5
80000,8,8.5
70000,8,8.25
60000,8,7.5
50000,8,6.5
45000,8,6.25
35000,8,6.25
80000,10,8.5
70000,10,8
60000,10,7
50000,10,6.25
45000,10,6
35000,10,6
80000,14,7.75
70000,14,7.25
60000,14,6.5
50000,14,5.75
45000,14,5.25
35000,14,5.25
80000,18,7
70000,18,6.5
60000,18,6
50000,18,5.5
45000,18,4.75
35000,18,4.75
80000,22,6.25
70000,22,6
60000,22,5.25
50000,22,4.5
45000,22,4.25
35000,22,4.25
80000,26,5.75
70000,26,5.25
60000,26,4.75
50000,26,4
45000,26,3.75
35000,26,3.75
80000,33,4.5
70000,33,4
60000,33,3.5
50000,33,3
45000,33,2.75
35000,33,2.75
80000,34,4.25
70000,34,4
60000,34,3.6
50000,34,2.75
45000,34,2.75
35000,34,2.75
80000,36,4
70000,36,3.5
60000,36,3.25
50000,36,2.75
45000,36,2.75
35000,36,2.75
